100,128,256,752,0,1299,102
110,128,256,827,104301525,788,113
120,128,256,903,104831868,862,133
130,128,256,977,99450139,1070,169
140,128,256,1054,103734479,1121,211
150,128,256,1129,104475404,1255,262
100,128,256,752,0,1326,102
110,128,256,828,104585030,760,113
120,128,256,903,103734479,868,134
130,128,256,976,104301525,1095,165
140,128,256,1053,104831868,1220,206
150,128,256,1129,104831868,1456,256
100,128,256,752,0,1350,102
110,128,256,828,103734479,832,113
120,128,256,902,99450139,1019,139
130,128,256,978,104301525,1040,170
140,128,256,1052,104585030,1156,211
150,128,256,1128,104475404,1301,262
100,128,256,752,0,1344,102
110,128,256,826,99450139,840,118
120,128,256,901,104475404,950,138
130,128,256,977,104301525,1034,169
140,128,256,1054,104831868,1144,210
150,128,256,1129,104749399,1319,261
100,128,256,752,0,1289,102
110,128,256,827,104301525,757,113
120,128,256,902,99450139,946,138
130,128,256,977,104749399,1001,169
140,128,256,1052,104749399,1188,210
150,128,256,1128,104831868,1390,261
100,128,256,752,0,2349,102
110,128,256,827,104301525,775,113
120,128,256,902,99450139,906,138
130,128,256,976,104749399,980,169
140,128,256,1052,104831868,1110,210
150,128,256,1128,104475404,1193,261
100,128,256,752,0,1238,102
110,128,256,827,99450139,806,118
120,128,256,901,104585030,877,138
130,128,256,978,104475404,1075,169
140,128,256,1054,104749399,1219,210
150,128,256,1128,104749399,1397,261
100,128,512,752,0,1284,102
110,128,512,828,104301525,1048,113
120,128,512,902,99450139,1332,138
130,128,512,978,104831868,1530,169
140,128,512,1052,103734479,1175,211
150,128,512,1129,104670141,1129,262
100,128,512,752,0,1213,102
110,128,512,828,104585030,729,113
120,128,512,903,99450139,854,138
130,128,512,978,104301525,967,169
140,128,512,1056,104831868,1078,210
150,128,512,1127,104727153,1227,261
100,128,512,752,0,1277,102
110,128,512,828,104585030,813,113
120,128,512,902,99450139,920,138
130,128,512,977,104475404,1048,169
140,128,512,1053,103734479,1242,211
150,128,512,1128,104475404,1387,262
100,128,512,752,0,1308,102
110,128,512,827,103734479,837,113
120,128,512,902,99450139,920,113
130,128,512,978,104585030,1091,144
140,128,512,1053,104301525,1395,185
150,128,512,1128,104831868,1502,236
100,128,512,752,0,1373,102
110,128,512,828,99450139,796,118
120,128,512,903,103734479,887,139
130,128,512,979,104301525,1079,170
140,128,512,1053,104585030,1212,211
150,128,512,1127,104749399,1595,262
100,128,512,752,0,1396,102
110,128,512,827,104585030,859,113
120,128,512,903,103734479,1071,134
130,128,512,980,104807340,1481,165
140,128,512,1052,99450139,1305,210
150,128,512,1128,104670141,1364,261
100,128,512,752,0,1417,102
110,128,512,829,104301525,846,113
120,128,512,903,99450139,1023,138
130,128,512,978,104585030,1129,169
140,128,512,1054,103734479,1243,211
150,128,512,1130,104475404,1309,262
